Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Education, Language Spoken and Literacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Mean Years of Schooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Mean Years Of Schooling, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 03/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Years
Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1980
Mean Years Of Schooling (25 Years & Over),11.7,11.6,11.3,11.2,11.1,10.9,10.7,10.7,10.6,10.5,10.3,10.2,10.1,9.7,9.7,9.4,9.3,9.3,8.9,8.8,8.7,8.5,8.6,8.2,8.1,7.9,7.7,7.7,7.3,7.2,7.1,6.9,6.6,6.3,6.2,5.9,5.8,5.7,5.8,5.6,4.7
  Mean Years Of Schooling (25 Years & Over) - Males,12.1,12,11.7,11.6,11.6,11.3,11.2,11.2,11.1,11,10.9,10.7,10.6,10.3,10.2,9.9,9.9,9.9,9.6,9.4,9.3,9.2,9.2,8.8,8.8,8.6,8.4,8.4,8.1,7.9,7.8,7.6,7.3,7,6.9,6.6,6.6,6.5,6.6,6.4,5.6
  Mean Years Of Schooling (25 Years & Over) - Females,11.3,11.3,10.9,10.8,10.6,10.4,10.3,10.3,10.1,10,9.9,9.7,9.7,9.2,9.1,8.8,8.7,8.8,8.3,8.2,8.1,7.9,8.1,7.6,7.4,7.2,7.1,7.2,6.6,6.5,6.3,6.2,5.9,5.6,5.5,5.2,5,4.9,5,4.7,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data pertain to residents who were not attending educational institutions as full-time students and include those who were upgrading their qualifications through part-time courses.  For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends).  Data for 1980, 1990, 2000, 2010 and 2020 are based on the Census of Population while data for 1995, 2005 and 2015 are based on the General Household Survey.  Data for all other years are based on the Comprehensive June Labour Force Survey.  Survey estimates are subject to sampling variability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean Years of Schooling:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean years of schooling refers to the years of education a person received on average.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 08/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
