Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Education, Language Spoken and Literacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Highest Qualification Attained (HQA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 25 Years & Over By Highest Qualification Attained, Sex And Age Group, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 03/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Total,3085300,2978300,2977800,2922700,2877000,2846000,2795200,2750900,2732600,2669100,2626400,2601900,2576000,2523000,2441300,2448400,2408600,2308500,2282400,2263000,2198900,2126900,2074000,2067300,2020800,1969700,1916400,1860900,1816800,1768400,1730600,1679300,1622300
  25 - 29 Years,215400,254800,268900,252300,251800,242300,253000,232800,231700,223700,223200,230900,249400,237800,228000,231800,231200,235700,230000,232400,233400,242800,250500,251500,242200,248300,240700,239900,256100,255300,271400,272100,281500
  30 - 34 Years,305500,325600,296000,273200,263800,262300,268200,269900,276900,274600,271700,280100,289300,280200,272900,288000,282000,288000,281700,287200,281000,278000,279500,293400,290000,293000,298200,292400,291000,283400,292200,288300,292700
  35 - 39 Years,308600,310400,297800,296900,303400,305700,288900,300200,287900,297500,302300,306900,317300,312900,307900,304300,298600,302800,292400,308500,320100,318800,310700,309900,307700,303400,305800,301200,291500,278300,266700,259900,252600
  40 - 44 Years,333100,309100,298100,304500,313100,320000,304000,315300,305100,310300,310800,302300,303500,311900,314400,317600,321800,319400,322400,314800,313900,311700,304500,300300,299600,286200,278700,264400,248300,248900,232100,226500,203900
  45 - 49 Years,343400,302000,311500,323000,313200,313700,301100,301500,298600,315100,319200,321700,319600,319000,316000,324300,322600,300300,303000,293800,281500,267900,256800,251800,252200,244500,233900,211300,190400,175700,155100,137700,127500
  50 - 54 Years,304100,260600,294200,311900,316600,307800,321700,319400,318300,318900,313200,309600,303600,298400,290000,284900,276000,256800,250500,243300,235100,223400,204900,186100,171400,154900,130900,132800,142200,141900,145000,136300,117500
  55 - 59 Years,310700,286200,306300,316100,299000,285000,299500,296700,296400,280200,272100,267400,252800,233300,228100,229700,224000,201200,190300,170500,150100,121000,125000,131900,132100,133000,127800,121700,118900,113700,108300,107200,99800
